LSOA11Code,LikelihoodHousingHazard,LikelihoodHousingDisrepair
W01000205,0.265,0.046
W01000206,0.39799999999999996,0.039
W01000207,0.552,0.055
W01000208,0.41700000000000004,0.071
W01000209,0.127,0.028999999999999998
W01000210,0.188,0.038
W01000211,0.516,0.054000000000000006
W01000212,0.134,0.03
W01000213,0.11800000000000001,0.028999999999999998
W01000214,0.19899999999999998,0.045
W01000215,0.133,0.028999999999999998
W01000216,0.14400000000000002,0.032
W01000217,0.151,0.033
W01000218,0.136,0.027999999999999997
W01000219,0.152,0.027000000000000003
W01000220,0.12300000000000001,0.013999999999999999
W01000221,0.1,0.017
W01000222,0.146,0.015
W01000223,0.066,0.005
W01000224,0.11599999999999999,0.018000000000000002
W01000225,0.179,0.037000000000000005
W01000226,0.124,0.023
W01000227,0.152,0.027999999999999997
W01000228,0.184,0.040999999999999995
W01000229,0.105,0.016
W01000230,0.139,0.023
W01000231,0.156,0.035
W01000232,0.08900000000000001,0.012
W01000233,0.163,0.028999999999999998
W01000234,0.092,0.017
W01000235,0.054000000000000006,0.002
W01000236,0.11599999999999999,0.024
W01000237,0.115,0.023
W01000238,0.188,0.040999999999999995
W01000239,0.19899999999999998,0.051
W01000240,0.27899999999999997,0.059000000000000004
W01000241,0.235,0.051
W01000242,0.17,0.03
W01000243,0.203,0.047
W01000244,0.085,0.013000000000000001
W01000245,0.13,0.03
W01000246,0.114,0.02
W01000247,0.249,0.037000000000000005
W01000248,0.445,0.046
W01000249,0.102,0.012
W01000250,0.129,0.021
W01000251,0.132,0.025
W01000252,0.141,0.02
W01000253,0.126,0.024
W01000254,0.13699999999999998,0.031
W01000255,0.141,0.026000000000000002
W01000256,0.10800000000000001,0.015
W01000257,0.109,0.013999999999999999
W01000258,0.156,0.026000000000000002
W01000259,0.11900000000000001,0.024
W01000260,0.132,0.016
W01000261,0.147,0.024
W01000262,0.107,0.017
W01000263,0.094,0.018000000000000002
W01000264,0.065,0.005
W01000265,0.163,0.027000000000000003
W01000266,0.132,0.022000000000000002
W01000267,0.113,0.015
W01000268,0.095,0.02
W01000269,0.149,0.031
W01000270,0.306,0.04
W01000271,0.308,0.042
W01000272,0.262,0.033
W01000273,0.11699999999999999,0.018000000000000002
W01000274,0.147,0.03
W01000275,0.17600000000000002,0.037000000000000005
W01000276,0.091,0.004
W01000277,0.069,0.004
W01000278,0.094,0.015
W01000279,0.14,0.017
W01000280,0.086,0.011000000000000001
W01000281,0.14400000000000002,0.025
W01000282,0.043,0.002
W01000283,0.158,0.027000000000000003
W01000284,0.086,0.012
W01000285,0.085,0.016
W01000286,0.11199999999999999,0.016
W01000287,0.262,0.039
W01000288,0.125,0.027000000000000003
W01000289,0.122,0.013000000000000001
W01000290,0.11,0.031
W01000291,0.092,0.008
W01000292,0.152,0.03
W01000293,0.17,0.034
W01000294,0.114,0.017
W01000295,0.152,0.031
W01000296,0.11699999999999999,0.026000000000000002
W01000297,0.092,0.017
W01000298,0.14800000000000002,0.025
W01000299,0.257,0.03
W01000300,0.154,0.024
W01000301,0.44299999999999995,0.055999999999999994
W01000302,0.156,0.03
W01000303,0.087,0.016
W01000304,0.133,0.031
W01000305,0.141,0.027999999999999997
W01000306,0.099,0.021
W01000307,0.16399999999999998,0.025
W01000308,0.152,0.03
W01000309,0.18600000000000003,0.035
W01000310,0.29100000000000004,0.040999999999999995
W01000311,0.122,0.022000000000000002
W01000312,0.127,0.022000000000000002
W01000313,0.11699999999999999,0.023
W01000314,0.154,0.036000000000000004
W01000315,0.106,0.018000000000000002
W01000316,0.109,0.017
W01000317,0.064,0.009000000000000001
W01000318,0.07400000000000001,0.009000000000000001
W01000319,0.125,0.024
W01000320,0.175,0.027999999999999997
W01000321,0.114,0.016
W01000322,0.09699999999999999,0.016
W01000323,0.127,0.026000000000000002
W01000324,0.11199999999999999,0.019
W01000325,0.084,0.017
W01000326,0.127,0.021
W01000327,0.156,0.023
W01000328,0.19699999999999998,0.036000000000000004
W01000329,0.157,0.028999999999999998
W01000330,0.09,0.015
W01000331,0.122,0.019
W01000332,0.20800000000000002,0.03
W01000333,0.11800000000000001,0.025
W01000334,0.20600000000000002,0.043
W01000335,0.08800000000000001,0.013000000000000001
W01000336,0.149,0.022000000000000002
W01000337,0.226,0.043
W01000338,0.222,0.031
W01000339,0.284,0.039
W01000340,0.226,0.035
W01000341,0.124,0.026000000000000002
W01000342,0.086,0.016
W01000343,0.10300000000000001,0.013000000000000001
W01000344,0.12300000000000001,0.015
W01000345,0.149,0.024
W01000346,0.396,0.053
W01000347,0.237,0.046
W01000348,0.134,0.027000000000000003
W01000351,0.11599999999999999,0.02
W01000349,0.07,0.009000000000000001
W01000350,0.16899999999999998,0.038
W01000352,0.10400000000000001,0.019
W01000353,0.081,0.013999999999999999
W01000354,0.155,0.03
W01000355,0.152,0.035
W01000356,0.105,0.015
W01001930,0.341,0.047
W01000359,0.185,0.026000000000000002
W01000360,0.11900000000000001,0.027999999999999997
W01000361,0.158,0.026000000000000002
W01000362,0.106,0.019
W01000363,0.126,0.02
W01000364,0.214,0.042
W01000365,0.132,0.027000000000000003
W01000366,0.10800000000000001,0.02
W01000367,0.113,0.013999999999999999
W01000368,0.146,0.031
W01000369,0.10800000000000001,0.018000000000000002
W01000370,0.171,0.033
W01000371,0.237,0.051
W01000372,0.158,0.037000000000000005
W01000373,0.14800000000000002,0.03
W01000374,0.1,0.013000000000000001
W01000375,0.115,0.021
W01000376,0.14400000000000002,0.019
W01000377,0.17300000000000001,0.024
W01000378,0.12,0.018000000000000002
W01000379,0.099,0.013000000000000001
W01000380,0.083,0.013999999999999999
W01000381,0.18899999999999997,0.039
W01000382,0.040999999999999995,0.008
W01000383,0.138,0.021
W01000384,0.138,0.023
W01000385,0.113,0.013000000000000001
W01000386,0.09300000000000001,0.021
W01000387,0.113,0.018000000000000002
W01000388,0.105,0.021
W01000389,0.185,0.04
W01000390,0.099,0.015
W01000391,0.136,0.021
W01000392,0.126,0.021
W01000393,0.13,0.027000000000000003
W01000394,0.264,0.040999999999999995
W01000395,0.121,0.021
W01000396,0.11199999999999999,0.019
W01000397,0.08,0.021
W01000398,0.20800000000000002,0.03
W01000399,0.28600000000000003,0.035
W01000400,0.14800000000000002,0.027000000000000003
W01000401,0.128,0.023
W01000402,0.262,0.054000000000000006
W01000403,0.177,0.02
W01000404,0.153,0.027999999999999997
W01000405,0.138,0.028999999999999998
W01000406,0.115,0.017
W01000407,0.196,0.033
W01000408,0.129,0.026000000000000002
W01000409,0.067,0.009000000000000001
W01000410,0.235,0.047
W01000411,0.107,0.026000000000000002
W01000412,0.223,0.049
W01000413,0.065,0.006999999999999999
W01000414,0.078,0.016
W01000415,0.099,0.017
W01000416,0.051,0.004
W01000417,0.14300000000000002,0.026000000000000002
W01000418,0.172,0.027000000000000003
W01000419,0.11,0.013999999999999999
W01000420,0.207,0.042
W01001929,0.17800000000000002,0.046
W01001931,0.192,0.04
W01000422,0.126,0.023
W01000423,0.094,0.016
W01000424,0.149,0.026000000000000002
W01000425,0.07200000000000001,0.013000000000000001
W01000426,0.262,0.04
W01000427,0.406,0.055
W01000428,0.325,0.047
W01000429,0.364,0.049
W01000430,0.327,0.079
W01000431,0.17600000000000002,0.045
W01000432,0.083,0.017
W01000433,0.203,0.033
W01000434,0.33799999999999997,0.045
W01001903,0.184,0.038
W01001899,0.249,0.045
W01000438,0.172,0.018000000000000002
W01000439,0.209,0.031
W01000440,0.179,0.025
W01000441,0.259,0.038
W01000442,0.341,0.044000000000000004
W01000443,0.292,0.037000000000000005
W01000444,0.222,0.036000000000000004
W01000445,0.23800000000000002,0.032
W01000446,0.175,0.039
W01000447,0.315,0.042
W01000448,0.13699999999999998,0.02
W01000449,0.18899999999999997,0.042
W01000450,0.419,0.053
W01000451,0.19699999999999998,0.024
W01000452,0.373,0.048
W01000453,0.34,0.045
W01000454,0.23800000000000002,0.057
W01000455,0.132,0.027999999999999997
W01000456,0.155,0.038
W01000457,0.126,0.016
W01000458,0.19399999999999998,0.027000000000000003
W01000459,0.401,0.055999999999999994
W01000460,0.33399999999999996,0.047
W01000461,0.255,0.036000000000000004
W01001904,0.249,0.042
W01001905,0.21,0.043
W01000464,0.44,0.055999999999999994
W01000465,0.212,0.031
W01000466,0.092,0.024
W01000467,0.21600000000000003,0.049
W01001906,0.40700000000000003,0.053
W01000470,0.264,0.042
W01001907,0.431,0.052000000000000005
W01000471,0.381,0.054000000000000006
W01000472,0.239,0.038
W01000473,0.147,0.033
W01000474,0.371,0.05
W01000475,0.344,0.043
W01000476,0.28300000000000003,0.040999999999999995
W01000477,0.373,0.049
W01000478,0.055,0.005
W01000479,0.092,0.013999999999999999
W01000480,0.14,0.027000000000000003
W01000481,0.106,0.021
W01000482,0.21600000000000003,0.042
W01000483,0.095,0.015
W01000484,0.424,0.055
W01000485,0.094,0.023
W01000486,0.128,0.027000000000000003
W01000487,0.185,0.034
W01000488,0.263,0.038
W01000489,0.161,0.03
W01001901,0.10300000000000001,0.018000000000000002
W01001902,0.065,0.008
W01000492,0.32899999999999996,0.069
W01000493,0.136,0.017
W01000494,0.228,0.044000000000000004
W01001897,0.209,0.03
W01000496,0.313,0.046
W01000497,0.278,0.046
W01000498,0.153,0.027000000000000003
W01000499,0.17,0.037000000000000005
W01000500,0.151,0.022000000000000002
W01000501,0.159,0.032
W01000502,0.155,0.032
W01000503,0.39799999999999996,0.048
W01000504,0.105,0.022000000000000002
W01000505,0.25,0.048
W01000506,0.33899999999999997,0.049
W01000507,0.375,0.033
W01000508,0.247,0.022000000000000002
W01000509,0.13,0.021
W01000510,0.23199999999999998,0.046
W01000511,0.207,0.04
W01000512,0.29100000000000004,0.062
W01000513,0.285,0.063
W01000515,0.139,0.021
W01000516,0.10800000000000001,0.021
W01000517,0.298,0.066
W01000518,0.098,0.017
W01000519,0.319,0.042
W01001937,0.29100000000000004,0.04
W01000522,0.418,0.05
W01000523,0.381,0.049
W01000524,0.263,0.028999999999999998
W01000525,0.096,0.019
W01000527,0.27699999999999997,0.067
W01000528,0.11599999999999999,0.022000000000000002
W01000529,0.371,0.047
W01001936,0.099,0.022000000000000002
W01001935,0.268,0.049
W01000531,0.182,0.027000000000000003
W01000532,0.312,0.037000000000000005
W01000533,0.254,0.036000000000000004
W01000534,0.146,0.021
W01000535,0.385,0.048
W01000536,0.501,0.059000000000000004
W01000537,0.396,0.046
W01000538,0.385,0.046
W01000539,0.557,0.063
W01000540,0.364,0.046
W01000541,0.40700000000000003,0.049
W01000542,0.462,0.055999999999999994
W01000543,0.478,0.055999999999999994
W01000544,0.306,0.046
W01000546,0.396,0.048
W01000547,0.248,0.023
W01000545,0.312,0.051
W01001934,0.132,0.027999999999999997
W01000548,0.099,0.017
W01000549,0.149,0.018000000000000002
W01000550,0.332,0.039
W01000551,0.201,0.03
W01000552,0.251,0.03
W01000553,0.192,0.025
W01000554,0.133,0.017
W01000555,0.13,0.018000000000000002
W01000556,0.18899999999999997,0.02
W01000557,0.18,0.023
W01000558,0.24,0.031
W01000559,0.405,0.048
W01000560,0.36200000000000004,0.038
W01000561,0.276,0.042
W01000562,0.27699999999999997,0.038
W01000563,0.268,0.032
W01000564,0.071,0.013999999999999999
W01000565,0.152,0.031
W01000566,0.155,0.033
W01000567,0.20800000000000002,0.046
W01000568,0.191,0.038
W01000569,0.08900000000000001,0.012
W01000570,0.081,0.013000000000000001
W01000571,0.153,0.032
W01000572,0.14800000000000002,0.027000000000000003
W01000573,0.136,0.023
W01000574,0.209,0.027000000000000003
W01000575,0.11,0.02
W01000576,0.11199999999999999,0.018000000000000002
W01000577,0.214,0.027999999999999997
W01000578,0.13699999999999998,0.019
W01000579,0.273,0.032
W01000580,0.152,0.022000000000000002
W01000581,0.315,0.039
W01000582,0.483,0.055
W01000583,0.33,0.045
W01000584,0.132,0.02
W01000585,0.35,0.046
W01000586,0.095,0.017
W01000587,0.152,0.039
W01000588,0.10300000000000001,0.02
W01000589,0.155,0.04
W01000590,0.11900000000000001,0.023
W01000591,0.218,0.038
W01000592,0.092,0.015
W01000593,0.08900000000000001,0.016
W01000594,0.153,0.035
W01000595,0.156,0.03
W01000596,0.196,0.027999999999999997
W01000597,0.245,0.043
W01000598,0.134,0.026000000000000002
W01000599,0.19899999999999998,0.035
W01000600,0.272,0.061
W01000601,0.087,0.013999999999999999
W01000602,0.129,0.024
W01000603,0.244,0.055
W01000604,0.11900000000000001,0.02
W01000605,0.20800000000000002,0.04
W01000606,0.106,0.021
W01000607,0.08,0.015
W01000608,0.218,0.049
W01000609,0.115,0.02
W01000610,0.114,0.019
W01000611,0.147,0.019
W01000615,0.086,0.019
W01000616,0.16,0.03
W01000617,0.353,0.044000000000000004
W01000618,0.278,0.035
W01000612,0.207,0.034
W01000613,0.364,0.055
W01000614,0.204,0.03
W01000619,0.11599999999999999,0.026000000000000002
W01000620,0.244,0.06
W01000621,0.146,0.027999999999999997
W01000622,0.21100000000000002,0.026000000000000002
W01000623,0.289,0.036000000000000004
W01000624,0.319,0.032
W01000625,0.16399999999999998,0.034
W01000626,0.191,0.043
W01000627,0.174,0.027000000000000003
W01000628,0.153,0.027000000000000003
W01000629,0.257,0.055999999999999994
W01000630,0.22,0.046
W01000631,0.10099999999999999,0.021
W01000632,0.192,0.049
W01000633,0.166,0.038
W01000634,0.132,0.026000000000000002
W01000635,0.226,0.045
W01000636,0.114,0.019
W01000637,0.102,0.018000000000000002
W01000638,0.09300000000000001,0.019
W01000639,0.177,0.036000000000000004
W01000640,0.09699999999999999,0.017
W01000641,0.239,0.055
W01000642,0.099,0.016
W01000643,0.107,0.023
W01000644,0.08900000000000001,0.012
W01000645,0.191,0.036000000000000004
W01000646,0.39899999999999997,0.046
W01000647,0.41600000000000004,0.045
W01000648,0.424,0.043
W01000649,0.308,0.032
W01000650,0.509,0.062
W01000651,0.131,0.026000000000000002
W01000652,0.099,0.018000000000000002
W01000653,0.209,0.044000000000000004
W01000654,0.272,0.059000000000000004
W01000655,0.162,0.034
W01000656,0.24100000000000002,0.048
W01000657,0.129,0.027000000000000003
W01000658,0.17,0.040999999999999995
W01000659,0.24100000000000002,0.055999999999999994
W01000660,0.218,0.048
W01001923,0.109,0.022000000000000002
W01001924,0.152,0.028999999999999998
W01000662,0.166,0.033
W01000663,0.23600000000000002,0.022000000000000002
W01000664,0.21,0.024
W01000665,0.182,0.028999999999999998
W01000666,0.184,0.038
W01000667,0.18600000000000003,0.035
W01001925,0.162,0.03
W01000670,0.153,0.036000000000000004
W01000671,0.17300000000000001,0.031
W01000672,0.441,0.05
W01000673,0.42,0.048
W01000674,0.342,0.039
W01000675,0.317,0.028999999999999998
W01000676,0.33899999999999997,0.054000000000000006
W01000677,0.235,0.054000000000000006
W01000678,0.285,0.034
W01000679,0.23199999999999998,0.057
W01000680,0.146,0.023
W01000681,0.17300000000000001,0.032
W01000682,0.359,0.038
W01000683,0.479,0.055999999999999994
W01000684,0.313,0.032
W01000685,0.41,0.044000000000000004
W01000686,0.381,0.05
W01000687,0.433,0.053
W01000688,0.305,0.03
W01000689,0.317,0.033
W01000690,0.115,0.023
W01000691,0.1,0.013999999999999999
W01000692,0.145,0.025
W01000693,0.098,0.015
W01000694,0.16399999999999998,0.017
W01000695,0.182,0.033
W01000696,0.22699999999999998,0.034
W01000697,0.268,0.039
W01000698,0.27699999999999997,0.027999999999999997
W01000699,0.268,0.035
W01000700,0.289,0.033
W01000701,0.301,0.043
W01000702,0.35100000000000003,0.036000000000000004
W01000703,0.24100000000000002,0.055999999999999994
W01000704,0.154,0.027999999999999997
W01000705,0.14,0.027999999999999997
W01000706,0.147,0.027999999999999997
W01000707,0.099,0.016
W01000708,0.114,0.025
W01000709,0.40299999999999997,0.051
W01000710,0.129,0.022000000000000002
W01000711,0.138,0.028999999999999998
W01000712,0.24100000000000002,0.028999999999999998
W01000713,0.306,0.033
W01000714,0.14300000000000002,0.027000000000000003
W01000715,0.158,0.033
W01000716,0.245,0.043
W01000717,0.129,0.035
W01000718,0.295,0.039
W01000719,0.45,0.047
W01000724,0.195,0.024
W01000725,0.17300000000000001,0.024
W01000720,0.161,0.026000000000000002
W01000721,0.18600000000000003,0.034
W01000722,0.26,0.03
W01000723,0.301,0.039
W01000726,0.141,0.02
W01000727,0.11,0.016
W01000728,0.446,0.05
W01000729,0.138,0.026000000000000002
W01000730,0.12,0.027000000000000003
W01000731,0.18100000000000002,0.028999999999999998
W01000732,0.297,0.069
W01000733,0.14,0.034
W01000734,0.304,0.068
W01000735,0.187,0.034
W01000736,0.107,0.022000000000000002
W01000737,0.11599999999999999,0.031
W01000738,0.11900000000000001,0.016
W01000739,0.132,0.027000000000000003
W01000740,0.14,0.032
W01000741,0.11900000000000001,0.02
W01000742,0.091,0.016
W01001955,0.027000000000000003,0.009000000000000001
W01001958,0.025,0.002
W01000744,0.213,0.05
W01000745,0.263,0.063
W01000746,0.29600000000000004,0.07
W01000747,0.331,0.077
W01001938,0.032,0.004
W01001957,0.162,0.032
W01000749,0.215,0.046
W01000750,0.111,0.021
W01000751,0.149,0.035
W01000752,0.132,0.019
W01000753,0.166,0.03
W01000754,0.179,0.044000000000000004
W01000755,0.141,0.028999999999999998
W01000756,0.091,0.017
W01000757,0.107,0.016
W01000758,0.149,0.027000000000000003
W01000759,0.12,0.02
W01000760,0.10099999999999999,0.02
W01000761,0.149,0.027000000000000003
W01000762,0.10400000000000001,0.021
W01000763,0.32299999999999995,0.07200000000000001
W01000764,0.28600000000000003,0.065
W01000765,0.261,0.057
W01000766,0.223,0.05
W01000767,0.10800000000000001,0.023
W01000768,0.128,0.017
W01000769,0.142,0.025
W01000770,0.159,0.023
W01000772,0.113,0.02
W01000771,0.158,0.03
W01000773,0.149,0.028999999999999998
W01000774,0.18600000000000003,0.039
W01000775,0.24100000000000002,0.034
W01000776,0.3,0.039
W01000777,0.125,0.019
W01000778,0.165,0.028999999999999998
W01000779,0.121,0.023
W01001956,0.098,0.017
W01000781,0.11699999999999999,0.019
W01000782,0.136,0.018000000000000002
W01000784,0.152,0.033
W01000785,0.09300000000000001,0.015
W01000786,0.171,0.032
W01000787,0.235,0.055
W01000788,0.217,0.053
W01000789,0.185,0.044000000000000004
W01000790,0.255,0.057
W01000791,0.062,0.003
W01000792,0.114,0.018000000000000002
W01000793,0.062,0.009000000000000001
W01000794,0.20199999999999999,0.036000000000000004
W01000795,0.077,0.01
W01000796,0.18600000000000003,0.031
W01000797,0.124,0.019
W01000798,0.127,0.021
W01000799,0.07200000000000001,0.009000000000000001
W01000800,0.139,0.032
W01000801,0.083,0.016
W01000802,0.09699999999999999,0.017
W01000803,0.29100000000000004,0.034
W01000804,0.08199999999999999,0.013999999999999999
W01000805,0.087,0.018000000000000002
W01000806,0.126,0.019
W01000815,0.124,0.022000000000000002
W01000816,0.081,0.011000000000000001
W01000807,0.11199999999999999,0.016
W01000808,0.132,0.023
W01000809,0.20800000000000002,0.045
W01000810,0.079,0.013000000000000001
W01000811,0.136,0.027000000000000003
W01000812,0.20199999999999999,0.052000000000000005
W01000813,0.228,0.048
W01000814,0.18100000000000002,0.037000000000000005
W01000817,0.063,0.008
W01000818,0.107,0.025
W01000819,0.11599999999999999,0.015
W01000820,0.174,0.034
W01000821,0.124,0.023
W01000822,0.124,0.011000000000000001
W01000823,0.096,0.023
W01000824,0.085,0.022000000000000002
W01000825,0.272,0.053
W01000826,0.10300000000000001,0.016
W01000827,0.20600000000000002,0.047
W01000828,0.193,0.03
W01000829,0.192,0.040999999999999995
W01000830,0.049,0.006
W01000831,0.086,0.019
W01000832,0.057999999999999996,0.009000000000000001
W01000833,0.07200000000000001,0.01
W01000834,0.09699999999999999,0.013000000000000001
W01000835,0.08,0.013999999999999999
W01000836,0.07200000000000001,0.011000000000000001
W01000837,0.10300000000000001,0.016
W01000838,0.1,0.017
W01000839,0.11599999999999999,0.026000000000000002
W01000840,0.158,0.028999999999999998
W01000841,0.107,0.024
W01000842,0.122,0.024
W01000843,0.125,0.024
W01000844,0.11,0.013999999999999999
W01000845,0.19899999999999998,0.040999999999999995
W01000846,0.185,0.04
W01000847,0.166,0.036000000000000004
W01000848,0.12300000000000001,0.021
W01000853,0.187,0.036000000000000004
W01000854,0.053,0.006999999999999999
W01000855,0.12,0.024
W01000856,0.07,0.011000000000000001
W01000857,0.129,0.03
W01000858,0.256,0.062
W01000859,0.102,0.013999999999999999
W01000860,0.13,0.027999999999999997
W01000861,0.212,0.043
W01000849,0.191,0.044000000000000004
W01000850,0.212,0.048
W01000851,0.198,0.044000000000000004
W01000852,0.23800000000000002,0.06
W01000862,0.10300000000000001,0.016
W01000863,0.109,0.024
W01000864,0.11,0.015
W01000865,0.14300000000000002,0.028999999999999998
W01000866,0.125,0.024
W01000867,0.10099999999999999,0.017
W01000868,0.183,0.036000000000000004
W01000869,0.17800000000000002,0.043
W01000870,0.262,0.062
W01000871,0.271,0.064
W01000872,0.222,0.046
W01000873,0.253,0.066
W01000874,0.248,0.067
W01000875,0.248,0.063
W01000876,0.271,0.068
W01000877,0.17800000000000002,0.035
W01000878,0.149,0.027000000000000003
W01000879,0.10400000000000001,0.013999999999999999
W01000880,0.163,0.04
W01000881,0.08,0.012
W01000882,0.111,0.016
W01000883,0.084,0.008
W01000884,0.233,0.059000000000000004
W01000885,0.145,0.024
W01000886,0.243,0.057
